Distance_Covered_km,Time_Taken_min,Time_of_Order,Riding_Time_min,Time_of_Delivery,Hour_of_Day,Order_Type,Weather,Traffic,Area_Type,Demand_Surge,Effort_Surcharge_INR,Tip_Amount,Festival_Day,Known_Fees
2.17,20,13:49,7,14:16,13,Fragile,Clear,Jam,Urban,1.19,10.0,5.0,No,80.33
1.22,13,22:08,4,22:25,22,Regular,Rain,Medium,Urban,1.16,0.0,0.0,No,63.09
2.47,23,19:30,6,19:59,19,Fragile+Heavy,Heavy Rain,High,Urban,1.43,25.0,5.0,No,157.69
2.11,14,18:45,2,19:01,18,Regular,Rain,Medium,Urban,1.2,0.0,5.0,Yes,96.63
1.85,11,10:19,4,10:34,10,Fragile,Clear,High,Urban,1.0,10.0,0.0,No,47.03
2.78,10,10:08,4,10:22,10,Fragile,Cloudy,Low,Suburban,1.0,5.0,0.0,No,56.53
2.04,10,08:25,4,08:39,8,Heavy,Clear,Low,Suburban,1.0,20.0,0.0,No,57.21
1.77,15,21:01,6,21:22,21,Regular,Cloudy,Jam,Urban,1.04,0.0,0.0,No,52.44
2.8,13,18:53,3,19:09,18,Fragile,Clear,Medium,Semi-Urban,1.0,10.0,0.0,No,60.85
5.0,15,19:45,6,20:06,19,Regular,Cloudy,Medium,Suburban,1.2,0.0,6.0,No,94.65
1.63,13,06:19,3,06:35,6,Regular,Cloudy,Low,Urban,1.04,0.0,0.0,Yes,67.42
4.95,16,22:48,4,23:08,22,Heavy,Cloudy,Medium,Suburban,1.0,15.0,0.0,No,99.56
1.85,25,20:22,6,20:53,20,Fragile+Heavy,Heavy Rain,Jam,Urban,1.36,30.0,10.0,No,147.12
2.03,9,11:13,3,11:25,11,Fragile,Clear,Low,Urban,1.0,5.0,0.0,No,49.2
2.22,11,10:13,2,10:26,10,Regular,Clear,Medium,Suburban,1.0,0.0,5.0,No,40.69
2.32,10,10:59,4,11:13,10,Heavy,Clear,Medium,Suburban,1.0,10.0,5.0,No,57.8
4.82,22,12:04,7,12:33,12,Regular,Clear,Jam,Semi-Urban,1.11,0.0,11.0,No,90.59
1.85,8,17:07,4,17:19,17,Regular,Clear,Low,Urban,1.0,0.0,0.0,No,32.07
